Score,P1 Odds,P2 Odds
-,1.79,1.95
0-0 2-0 15-15*,1.33,3.14
0-0 2-0 15-30*,1.36,2.99
0-0 2-1 *0-0,1.40,2.81
0-0 2-1 *0-15,1.41,2.53
0-0 2-1 *15-15,1.43,2.72
0-0 2-1 *30-15,1.38,2.91
0-0 2-1 *40-15,1.33,3.13
0-0 3-1 0-0*,1.31,3.24
0-0 3-1 15-0*,1.28,3.40
0-0 3-1 15-40*,1.36,2.98
0-0 3-1 40-40*,1.28,3.45
0-0 3-2 *0-0,1.38,2.90
0-0 3-2 *30-15,1.41,2.78
0-0 4-2 0-0*,1.30,3.32
0-0 4-2 15-0*,1.25,3.70
0-0 4-2 15-30*,1.28,3.45
0-0 4-2 15-30*,1.30,3.32
0-0 4-2 30-30*,1.28,3.45
0-0 4-2 40-30*,1.22,4.00
0-0 4-2 40-40*,1.28,3.45
0-0 4-3 *0-0,1.33,3.14
0-0 4-3 *0-0,1.34,3.10
0-0 4-3 *0-15,1.42,2.73
0-0 4-3 *15-15,1.36,3.00
0-0 4-3 *30-15,1.30,3.32
0-0 4-3 *40-15,1.25,3.66
0-0 4-3 *40-15,1.28,3.45
0-0 5-3 0-0*,1.25,3.78
0-0 5-3 0-15*,1.25,3.70
0-0 5-3 15-15*,1.25,3.80
0-0 5-3 15-15*,1.22,3.96
0-0 5-3 30-15*,1.20,4.20
0-0 5-3 30-30*,1.22,4.00
0-0 5-3 30-15*,1.22,4.00
0-0 5-3 40-15*,1.20,4.25
1-0 6-3 *0-0,1.17,4.65
1-0 6-3 *15-0,1.14,5.20
1-0 6-3 *30-0,1.13,5.40
1-0 6-3 *40-0,1.13,5.40
1-0 6-3 0-0*,1.12,5.70
1-0 1-0 0-0*,1.12,5.70
